Date,Open,High,Low,Close,Adj Close,Volume
2020-02-23,27105.349609,27105.349609,25989.410156,26129.929688,26129.929688,11310495800
2020-03-01,26077.730469,26805.580078,26038.390625,26146.669922,26146.669922,11464255500
2020-03-08,25134.019531,25578.609375,22519.320313,24032.910156,24032.910156,19775263200
2020-03-15,23317.810547,23631.529297,21139.259766,22805.070313,22805.070313,22078742100
2020-03-22,21696.130859,23791.199219,21696.130859,23484.279297,23484.279297,11938624000
2020-03-29,23020.849609,23627.529297,22756.130859,23236.109375,23236.109375,12741308100
2020-04-05,23558.830078,24308.689453,23271.470703,24300.330078,24300.330078,7935259900
2020-04-12,24347.609375,24666.640625,23854.789063,24380.000000,24380.000000,7760125400
2020-04-19,24503.560547,24503.560547,23483.310547,23831.330078,23831.330078,8320125400
2020-04-26,24030.660156,24855.470703,24030.539063,24643.589844,24643.589844,4928279300
2020-05-03,23895.109375,24263.730469,23584.949219,24230.169922,24230.169922,8370914500
2020-05-10,24470.179688,24766.830078,23671.609375,23797.470703,23797.470703,7504066500
2020-05-17,23736.669922,24552.550781,22878.259766,22930.140625,22930.140625,10255457600
2020-05-24,22725.699219,23515.140625,22519.730469,22961.470703,22961.470703,11005527900
2020-05-31,23539.910156,24810.220703,23539.910156,24770.410156,24770.410156,11124052800
2020-06-07,25018.050781,25303.779297,23895.029297,24301.380859,24301.380859,9961663000
2020-06-14,23991.380859,24776.539063,23684.960938,24643.890625,24643.890625,9196020300
2020-06-21,24528.529297,25071.320313,24184.880859,24549.990234,24549.990234,6102521700
2020-06-28,24627.640625,25453.580078,24148.619141,25373.119141,25373.119141,8795294000
2020-07-05,25545.539063,26782.619141,25543.150391,25727.410156,25727.410156,15974734600
2020-07-12,25848.800781,26103.839844,24919.949219,25089.169922,25089.169922,9454437400
2020-07-19,25019.599609,25779.660156,24598.460938,24705.330078,24705.330078,10732550000
2020-07-26,24909.960938,25197.310547,24526.910156,24595.349609,24595.349609,7472880100
